,city,college,heightFt,heightIn,location,player,position,rank,rate,school,score,state,weight,year
57232,Muskogee,Tulsa,6,2,"Muskogee, OK, united states of america",Zack Wallace,OLB,1623,2,Hilldale,0.7667,OK,225,2008
57233,Houston,Army,6,1,"Houston, TX, united states of america",Max Jenkins,DUAL,1624,2,Langham Creek,0.7667,TX,184,2008
57234,Katy,SMU,6,1,"Katy, TX, united states of america",Bo Levi Mitchell,PRO,1625,2,Katy,0.7667,TX,185,2008
57235,Miami,N.C. State,6,0,"Miami, FL, united states of america",Gary Grant,CB,1626,2,Dr Michael M. Krop,0.7667,FL,180,2008
57236,Luther,Wyoming,5,8,"Luther, OK, united states of america",Josh Birmingham,ATH,1627,2,Luther,0.7667,OK,165,2008
57237,Bellflower,Washington State,6,0,"Bellflower, CA, united states of america",Tyree Toomer,S,1628,2,St. John Bosco,0.7667,CA,180,2008
57238,Hurst,Brigham Young,6,2,"Hurst, TX, united states of america",Atem Bol,WR,1629,2,Bell,0.7667,TX,205,2008
57239,Encino,Arizona,6,2,"Encino, CA, united states of america",Mark Watley,S,1630,2,Crespi,0.7667,CA,182,2008
57240,Naperville,Western Michigan,6,4,"Naperville, IL, united states of america",Kyle Lackner,ILB,1631,2,Naperville North,0.7667,IL,228,2008
57241,Aurora,Colorado State,6,1,"Aurora, CO, united states of america",Davis Burl,S,1632,2,Grandview,0.7667,CO,193,2008
57242,Humble,Fresno State,6,1,"Humble, TX, united states of america",Anthony Williams,DT,1633,2,Atascocita,0.7667,TX,285,2008
57243,Cuero,Baylor,6,2,"Cuero, TX, united states of america",Kaeron Johnson,DT,1634,2,Cuero,0.7667,TX,320,2008
57244,Fort Collins,Wyoming,6,5,"Fort Collins, CO, united states of america",Trevor Shaw,OLB,1635,2,Poudre,0.7667,CO,235,2008
57245,Crowley,Oklahoma State,6,4,"Crowley, TX, united states of america",Dejuan Davis,OG,1636,2,Crowley,0.7667,TX,295,2008
57246,Dacula,Houston,6,5,"Dacula, GA, united states of america",Ari Tatum,TE,1637,2,Dacula,0.7667,GA,225,2008
57247,Moss Point,Northern Illinois,5,7,"Moss Point, MS, united states of america",Meco Brown,APB,1638,2,Moss Point,0.7667,MS,180,2008
57248,Bellefontaine,Bowling Green,6,1,"Bellefontaine, OH, united states of america",Keith Morgan,ATH,1639,2,Bellefontaine,0.7667,OH,195,2008
57249,Connell,Brigham Young,6,1,"Connell, WA, united states of america",Spencer Hadley,ILB,1640,2,Connell,0.7667,WA,210,2008
57250,Midlothian,Kent State,6,3,"Midlothian, VA, united states of america",Ryan Jude,ILB,1641,2,Manchester,0.7667,VA,245,2008
57251,West Jordan,Utah,6,4,"West Jordan, UT, united states of america",Kendrick Moeai,WR,1642,2,Copper Hills,0.7667,UT,195,2008
57252,Arlington,Baylor,6,4,"Arlington, TX, united states of america",Jared Edwards,SDE,1643,2,Mansfield Timberview,0.7667,TX,250,2008
57253,Carrollton,Wisconsin,6,0,"Carrollton, TX, united states of america",Shelton Johnson,S,1644,2,Hebron,0.7667,TX,167,2008
57254,Pratt,USF,6,10,"Pratt, KS, united states of america",Alex Rivas-Sanchez,OC,1645,2,Pratt Sr,0.7667,KS,230,2008
57255,Woodstock,Western Michigan,6,0,"Woodstock, GA, united states of america",Ryan Byrne,DT,1646,2,Etowah,0.7667,GA,270,2008
57256,Fort Wayne,Toledo,6,3,"Fort Wayne, IN, united states of america",Malcolm Riley,DT,1647,2,R Nelson Snider,0.7667,IN,240,2008
57257,Cincinnati,Kentucky,6,4,"Cincinnati, OH, united states of america",Chandler Burden,OT,1648,2,LaSalle,0.7667,OH,180,2008
57258,Katy,Rice,6,1,"Katy, TX, united states of america",John Gioffre,DT,1649,2,Cinco Ranch,0.7667,TX,280,2008
57259,Bradenton,Middle Tennessee State,6,5,"Bradenton, FL, united states of america",Jeremy Michel,OG,1650,2,Manatee,0.7667,FL,280,2008
57960,Waller,Houston,6,2,"Waller, TX, united states of america",David Hunter,OG,1651,2,Waller,0.7667,TX,270,2008
57961,Malvern,Syracuse,6,2,"Malvern, PA, united states of america",Ryan Nassib,PRO,1652,2,Malvern Prep,0.7667,PA,209,2008
57962,Highland Springs,Virginia,6,2,"Highland Springs, VA, united states of america",Rod Wheeler,TE,1653,2,Highland Springs,0.7667,VA,228,2008
57963,Midland,SMU,6,4,"Midland, TX, united states of america",Sidney Nwangwu,OG,1654,2,Midland,0.7667,TX,313,2008
57964,Huntsville,Rice,6,3,"Huntsville, TX, united states of america",Jared Williams,TE,1655,2,Huntsville,0.7667,TX,250,2008
57965,Cedar Hill,North Texas,6,0,"Cedar Hill, TX, united states of america",Brandon Akpunku,OLB,1656,2,Cedar Hill,0.7667,TX,200,2008
57966,Rockford,Ohio,6,4,"Rockford, OH, united states of america",Jordan Thompson,OLB,1657,2,Parkway,0.7667,OH,225,2008
57967,Miami,FIU,5,11,"Miami, FL, united states of america",Emmanuel Souarin,CB,1658,2,Norland,0.7667,FL,158,2008
57968,Winter Park,Western Michigan,6,5,"Winter Park, FL, united states of america",Alex Starkey,OT,1659,2,Lake Howell,0.7667,FL,270,2008
57969,Fresno,Fresno State,6,3,"Fresno, CA, united states of america",Michael Butler,TE,1660,2,Sunnyside,0.7667,CA,220,2008
57970,Wolfforth,Colorado State,5,10,"Wolfforth, TX, united states of america",Michael Connor,RB,1661,2,Frenship,0.7667,TX,190,2008
57971,Mckeesport,Akron,5,9,"Mckeesport, PA, united states of america",Marvase Byrd,CB,1662,2,McKeesport,0.7667,PA,179,2008
57972,Dayton,Toledo,6,4,"Dayton, OH, united states of america",Hank Keighley,WDE,1663,2,Archbishop Alter,0.7667,OH,225,2008
57973,Pensacola,Louisiana-Lafayette,6,3,"Pensacola, FL, united states of america",LaDarius Green,WR,1664,2,Washington,0.7667,FL,185,2008
57974,Chicago Heights,Purdue,6,8,"Chicago Heights, IL, united states of america",Dennis Kelly,OT,1665,2,Marian Catholic,0.7667,IL,236,2008
57975,Londonderry,Connecticut,6,6,"Londonderry, NH, united states of america",Ryan Griffin,TE,1666,2,Londonderry Senior,0.7667,NH,220,2008
57976,Beverly Hills,San Diego State,6,0,"Beverly Hills, CA, united states of america",Dominque Sandifer,WR,1667,2,Beverly Hills,0.7667,CA,170,2008
57977,Cleveland,Bowling Green,6,3,"Cleveland, OH, united states of america",Winston Etheridge,SDE,1668,2,Glenville,0.7667,OH,245,2008
57978,New Hampton,Auburn,6,5,"New Hampton, NH, united states of america",Tori Childers,WR,1669,2,New Hampton School,0.7667,NH,220,2008
57979,Edmond,Wyoming,5,11,"Edmond, OK, united states of america",David James,CB,1670,2,Memorial,0.7667,OK,175,2008
57980,Kissimmee,Colorado State,5,9,"Kissimmee, FL, united states of america",Gerard Thomas,ATH,1671,2,Osceola,0.7667,FL,165,2008
57981,Chino,San Jose State,6,1,"Chino, CA, united states of america",Wade O'Neill,ILB,1672,2,Chino Hills,0.7667,CA,224,2008
57982,San Pedro,Nevada,5,10,"San Pedro, CA, united states of america",Ahmad Wood,CB,1673,2,San Pedro Senior,0.7667,CA,179,2008
57983,Daytona Beach,FIU,6,4,"Daytona Beach, FL, united states of america",Kasey Smith,DT,1674,2,Seabreeze,0.7667,FL,250,2008
57984,Cincinnati,Eastern Michigan,5,10,"Cincinnati, OH, united states of america",Dominique Sherrer,RB,1675,2,Colerain,0.7667,OH,193,2008
57985,Lagrange,UCF,6,5,"Lagrange, GA, united states of america",John Oliver,OT,1676,2,Troup County,0.7667,GA,250,2008
57986,Jacksonville,East Carolina,6,2,"Jacksonville, NC, united states of america",Joseph Womack,ATH,1677,2,Northside,0.7667,NC,185,2008
57987,Washington,Illinois,6,4,"Washington, DC, united states of america",Ugochukwu Uzodinma,WDE,1678,2,Dunbar,0.7667,DC,240,2008
57988,Culver City,Washington State,6,1,"Culver City, CA, united states of america",Terrance Hayward,CB,1679,2,Culver City,0.7667,CA,180,2008
57989,Ault,Wyoming,6,4,"Ault, CO, united states of america",Dylan Kildahl,SDE,1680,2,Highland,0.7667,CO,240,2008
57990,Houston,Houston,5,11,"Houston, TX, united states of america",Ronnie Williams,WR,1681,2,Sterling,0.7667,TX,180,2008
57991,Frisco,Duke,6,5,"Frisco, TX, united states of america",Jackson Anderson,TE,1682,2,Frisco,0.7667,TX,230,2008
57992,Corona,Idaho,6,1,"Corona, CA, united states of america",Henry Asuega,SDE,1683,2,Corona,0.7667,CA,254,2008
57993,Columbus,Colorado,5,7,"Columbus, OH, united states of america",Rodney Stewart,APB,1684,2,Brookhaven,0.7667,OH,170,2008
57994,Camden,Arkansas,6,1,"Camden, NJ, united states of america",Matt Marshall,OLB,1685,2,Camden,0.7667,NJ,230,2008
57995,Monroe,Tulane,6,3,"Monroe, LA, united states of america",Kadeem Taylor,WDE,1686,2,Carroll,0.7667,LA,240,2008
57996,Sanford,Iowa State,6,4,"Sanford, FL, united states of america",Adrin Haughton,OT,1686,2,Seminole,0.7667,FL,323,2008
57997,Homestead,UAB,6,1,"Homestead, FL, united states of america",Josh Brinson,WR,1688,2,South Dade,0.7667,FL,162,2008
57998,Inglewood,Nevada,6,0,"Inglewood, CA, united states of america",Marlon Johnson,S,1689,2,Inglewood,0.7667,CA,183,2008
57999,Crowley,Louisiana-Lafayette,6,0,"Crowley, LA, united states of america",Kyron Benoit,ATH,1690,2,Crowley,0.7667,LA,194,2008
58000,Littleton,Colorado State,6,7,"Littleton, CO, united states of america",Justin Becker,OT,1691,2,ThunderRidge,0.7667,CO,240,2008
58001,Wichita Falls,Oklahoma State,6,0,"Wichita Falls, TX, united states of america",Isaiah Anderson,WR,1692,2,Wichita Falls,0.7667,TX,175,2008
58002,Chesterton,Western Michigan,6,5,"Chesterton, IN, united states of america",Sam Jaeger,OG,1693,2,Chesterton Senior,0.7667,IN,295,2008
58003,Alva,Marshall,6,3,"Alva, OK, united states of america",Tyson Gale,ILB,1694,2,Alva,0.7667,OK,230,2008
58004,Belleville,Temple,5,10,"Belleville, NJ, united states of america",Maurice Jones,CB,1695,2,Belleville Sr.,0.7667,NJ,178,2008
58005,Columbus,Kent State,6,6,"Columbus, OH, united states of america",Seamus Garvey,OT,1696,2,Gahanna Lincoln,0.7667,OH,270,2008
58006,Pittsburgh,Pittsburgh,5,11,"Pittsburgh, PA, united states of america",Andrew Taglianetti,ATH,1697,2,Central Catholic,0.7667,PA,175,2008
58007,Long Beach,Utah State,5,11,"Long Beach, CA, united states of america",Sheldon Armstrong,CB,1698,2,Long Beach Poly,0.7667,CA,175,2008
58008,Boca Raton,Central Michigan,6,0,"Boca Raton, FL, united states of america",Jerry Harris,WR,1699,2,Boca Raton,0.7667,FL,180,2008
58009,San Jacinto,UNLV,6,6,"San Jacinto, CA, united states of america",Gordy Cooper,WR,1700,2,San Jacinto,0.7667,CA,193,2008
58710,Mesquite,New Mexico,5,11,"Mesquite, TX, united states of america",Edrick Boger,CB,1701,2,North Mesquite,0.7667,TX,158,2008
58711,Littleton,Colorado State,6,1,"Littleton, CO, united states of america",Andy Clements,S,1702,2,Chatfield,0.7667,CO,195,2008
58712,Mentor,Iowa,6,4,"Mentor, OH, united states of america",Joe Gaglione,WDE,1703,2,Lake Catholic,0.7667,OH,242,2008
58713,Ridgeland,SMU,5,5,"Ridgeland, MS, united states of america",B.J. Lee,APB,1704,2,Ridgeland,0.7667,MS,160,2008
58714,Marathon,Western Michigan,6,2,"Marathon, FL, united states of america",Waymon Ross,OLB,1705,2,Marathon,0.7667,FL,225,2008
58715,Mission Viejo,Oregon State,6,1,"Mission Viejo, CA, united states of america",Kameron Krebs,S,1706,2,Mission Viejo,0.7667,CA,210,2008
58716,Reno,Nevada,6,2,"Reno, NV, united states of america",Jacob Anderson,OLB,1707,2,Galena,0.7667,NV,195,2008
58717,West Mifflin,Kent State,6,0,"West Mifflin, PA, united states of america",T.J. Williams,WR,1708,2,West Mifflin Area,0.7667,PA,185,2008
58718,Roswell,Tulane,6,5,"Roswell, GA, united states of america",Harris Howard,OG,1709,2,Blessed Trinity Catholic,0.7667,GA,281,2008
58719,Cincinnati,Ohio,6,5,"Cincinnati, OH, united states of america",Vince Carlotta,OT,1709,2,Roger Bacon,0.7667,OH,280,2008
58720,Buford,Ole Miss,6,7,"Buford, GA, united states of america",Melvin Harris,WR,1711,2,Buford,0.7667,GA,195,2008
58721,Mesa,New Mexico State,6,1,"Mesa, AZ, united states of america",Anthony Smith,DT,1712,2,Red Mountain,0.7667,AZ,225,2008
58722,Plano,SMU,6,2,"Plano, TX, united states of america",Blake McJunkin,OG,1713,2,Plano,0.7667,TX,256,2008
58723,Cape Coral,Toledo,6,0,"Cape Coral, FL, united states of america",David Pasquale,ATH,1714,2,Cape Coral,0.7667,FL,199,2008
58724,Corona,UNLV,6,3,"Corona, CA, united states of america",Jason Koontz,OG,1715,2,Santiago,0.7667,CA,285,2008
58725,Tucson,New Mexico,6,6,"Tucson, AZ, united states of america",Lucas Reed,TE,1716,2,Sabino,0.7667,AZ,210,2008
58726,Reynoldsburg,Miami (OH),5,9,"Reynoldsburg, OH, united states of america",Jay Taylor,APB,1716,2,Reynoldsburg,0.7667,OH,190,2008
58727,Wetumpka,Georgia Tech,6,1,"Wetumpka, AL, united states of america",Tevin Washington,DUAL,1718,2,Wetumpka,0.7667,AL,205,2008
58728,Plymouth,Ball State,6,6,"Plymouth, IN, united states of america",Blaine Schafer,OT,1719,2,Plymouth,0.7667,IN,285,2008
58729,Dallas,SMU,6,4,"Dallas, TX, united states of america",Zachary Boyd,OT,1720,2,Highland Park,0.7667,TX,258,2008
58730,Longwood,UCF,6,3,"Longwood, FL, united states of america",Loren Robinson,OLB,1721,2,Lyman,0.7667,FL,190,2008
58731,Chino,San Jose State,6,4,"Chino, CA, united states of america",Tracy Pugh,SDE,1722,2,Chino Hills,0.7667,CA,245,2008
58732,Endicott,Syracuse,6,6,"Endicott, NY, united states of america",Chandler Jones,TE,1723,2,Union Endicott,0.7667,NY,235,2008
58733,Baton Rouge,Tulane,6,2,"Baton Rouge, LA, united states of america",D.J. Ponder,PRO,1724,2,Catholic,0.7667,LA,190,2008
58734,Omaha,Iowa,6,0,"Omaha, NE, united states of america",Shane Prater,WR,1725,2,Central,0.7667,NE,158,2008
58735,San Bernardino,Utah State,6,1,"San Bernardino, CA, united states of america",Robert Fuller,DUAL,1726,2,Arroyo Valley,0.7667,CA,188,2008
58736,Atlanta,UAB,6,5,"Atlanta, GA, united states of america",Elliott Henigan,SDE,1727,2,Lovett School,0.7667,GA,250,2008
58737,Burien,Army,6,0,"Burien, WA, united states of america",Corey Laufasa,ILB,1728,2,Evergreen,0.7667,WA,225,2008
58738,Los Alamos,New Mexico State,6,1,"Los Alamos, NM, united states of america",Ruben Martinez,RB,1729,2,Los Alamos,0.7667,NM,199,2008
58739,Edinboro,Connecticut,6,1,"Edinboro, PA, united states of america",Blidi Wreh-Wilson,CB,1730,2,General McLane,0.7667,PA,165,2008
58740,Bay City,Rice,6,1,"Bay City, TX, united states of america",Michael Smith,DT,1731,2,Bay City,0.7667,TX,270,2008
58741,Virginia Beach,Virginia Tech,6,3,"Virginia Beach, VA, united states of america",Joe Jones,SDE,1732,2,Green Run,0.7667,VA,245,2008
58742,Santa Maria,Colorado State,5,11,"Santa Maria, CA, united states of america",Adam Wilson,S,1733,2,Ernest Righetti,0.7667,CA,199,2008
58743,Thomasville,NoCollege,,,"Thomasville, GA, united states of america",Anthony McCloud,DT,1734,2,Thomas County Central,0.7667,GA,-,2008
58744,Lake Dallas,Purdue,6,0,"Lake Dallas, TX, united states of america",Alvin Blackmon,WR,1735,2,Lake Dallas,0.7667,TX,180,2008
58745,Houston,Boise State,6,3,"Houston, TX, united states of america",Brenel Myers,OT,1736,2,Westfield,0.7667,TX,245,2008
58746,Athens,Kentucky,6,6,"Athens, GA, united states of america",Trevino Woods,OT,1737,2,Clarke Central,0.7667,GA,275,2008
58747,Valdosta,Western Michigan,6,0,"Valdosta, GA, united states of america",Kelly Dawsey,CB,1738,2,Lowndes,0.7667,GA,185,2008
58748,Columbus,Kent State,6,3,"Columbus, OH, united states of america",Justin Thompson,TE,1739,2,St. Francis De Sales,0.7667,OH,220,2008
58749,Argyle,Baylor,6,2,"Argyle, TX, united states of america",Ben Parks,K,1740,2,Argyle,0.7667,TX,195,2008
58750,Moorpark,Tulane,6,3,"Moorpark, CA, united states of america",Casey Blum,WDE,1741,2,Moorpark,0.7667,CA,245,2008
58751,Marana,UNLV,6,4,"Marana, AZ, united states of america",Jesse Backerman,SDE,1742,2,Marana,0.7667,AZ,230,2008
58752,Houston,Houston,6,0,"Houston, TX, united states of america",Gino Collins,ATH,1743,2,St. Pius X,0.7667,TX,181,2008
58753,Littleton,Colorado State,6,4,"Littleton, CO, united states of america",Matt Weems,SDE,1744,2,Arapahoe,0.7667,CO,230,2008
58754,Pompano Beach,Auburn,6,1,"Pompano Beach, FL, united states of america",Dax Dellenbach,LS,1745,2,North Broward Prep,0.7667,FL,235,2008
58755,Anaheim,SMU,6,1,"Anaheim, CA, united states of america",Evan Huahulu,OG,1746,2,Servite,0.7667,CA,330,2008
58756,Tempe,Wyoming,6,3,"Tempe, AZ, united states of america",Eric Benson,S,1747,2,Corona Del Sol,0.7667,AZ,190,2008
58757,Green Bay,Western Michigan,6,3,"Green Bay, WI, united states of america",Drew Nowak,WDE,1748,2,Preble,0.7667,WI,245,2008
58758,Loomis,San Jose State,6,5,"Loomis, CA, united states of america",Ryan Otten,OLB,1749,2,Del Oro,0.7667,CA,194,2008
58759,Valley Center,Colorado State,6,2,"Valley Center, CA, united states of america",Jason Klingerman,DT,1750,2,Valley Center,0.7667,CA,260,2008
59460,Columbus,Kent State,5,11,"Columbus, GA, united states of america",Jacquise Terry,APB,1751,2,Pacelli,0.7667,GA,175,2008
59461,West Palm Beach,Louisiana-Lafayette,6,2,"West Palm Beach, FL, united states of america",Devon Lewis-Buchanan,S,1752,2,Suncoast,0.7667,FL,205,2008
59462,Windsor,Fresno State,6,5,"Windsor, CA, united states of america",Max Devlin,OT,1753,2,Windsor,0.7667,CA,280,2008
59463,Missouri City,UCF,6,4,"Missouri City, TX, united states of america",Thao Goins,WDE,1754,2,Hightower,0.7667,TX,280,2008
59464,Bakersfield,Utah State,6,3,"Bakersfield, CA, united states of america",Emmanuel Ojeriakhi,WR,1755,2,Bakersfield,0.7667,CA,183,2008
59465,Minden,Nevada,6,7,"Minden, NV, united states of america",Jeffrey Nady,OT,1756,2,Douglas County,0.7667,NV,250,2008
59466,Midlothian,Michigan State,6,4,"Midlothian, VA, united states of america",Cameron Jude,WDE,1757,2,Manchester,0.7667,VA,235,2008
59467,Birmingham,Louisiana-Monroe,6,0,"Birmingham, AL, united states of america",Cody Wells,PRO,1758,2,Spain Park,0.7667,AL,195,2008
59468,Leroy,Duke,5,11,"Leroy, AL, united states of america",Johnny Williams,WR,1759,2,Leroy Sch,0.7667,AL,195,2008
59469,Sugar Land,Boise State,6,3,"Sugar Land, TX, united states of america",George Iloka,ATH,1760,2,Kempner,0.7667,TX,194,2008
59470,Kahuku,Hawaii,6,3,"Kahuku, HI, united states of america",Alema Tachibana,OLB,1761,2,Kahuku,0.7667,HI,200,2008
59471,Santa Clarita,UNLV,6,6,"Santa Clarita, CA, united states of america",Shane Watterson,OT,1762,2,Saugus,0.7667,CA,280,2008
59472,Brantley,Vanderbilt,6,2,"Brantley, AL, united states of america",Dexter Daniels,OLB,1763,2,Brantley,0.7667,AL,215,2008
59473,Metamora,Purdue,6,5,"Metamora, IL, united states of america",Caleb Ter Bush,DUAL,1764,2,Metamora,0.7667,IL,215,2008
59474,Duncan,Tulsa,6,0,"Duncan, OK, united states of america",Trent Wilkins,S,1765,2,Duncan,0.7667,OK,188,2008
59475,Elkhart,Wyoming,6,0,"Elkhart, IN, united states of america",Kyle Magnuson,OT,1766,2,Concord Community,0.7667,IN,301,2008
59476,Naples,FIU,6,2,"Naples, FL, united states of america",Donnell Wilson,DT,1767,2,Golden Gate,0.7667,FL,275,2008
59477,Springfield,Akron,6,0,"Springfield, OH, united states of america",Brian Wagner,OLB,1768,2,Catholic Central,0.7667,OH,210,2008
59478,San Jose,Fresno State,5,11,"San Jose, CA, united states of america",A.J. Ellis,APB,1769,2,Andrew P. Hill,0.7667,CA,180,2008
59479,Apopka,UAB,6,2,"Apopka, FL, united states of america",Danny White,OLB,1770,2,Apopka,0.7667,FL,215,2008
59480,Little Rock,Middle Tennessee State,6,5,"Little Rock, AR, united states of america",Rogeric Govan,OG,1771,2,Little Rock Central,0.7667,AR,253,2008
59481,Culver City,Baylor,6,6,"Culver City, CA, united states of america",Anthony Ballew,OT,1772,2,Culver City,0.7667,CA,315,2008
59482,Odessa,New Mexico State,6,3,"Odessa, TX, united states of america",Lavorick Williams,WR,1773,2,Permian,0.7667,TX,187,2008
59483,Bellaire,Northwestern,6,1,"Bellaire, TX, united states of america",David Nwabuisi,ATH,1774,2,Episcopal,0.7667,TX,230,2008
59484,Miami,FIU,6,1,"Miami, FL, united states of america",Winston Fraser,OLB,1775,2,Booker T. Washington,0.7667,FL,212,2008
59485,Placentia,Washington State,6,4,"Placentia, CA, united states of america",Anthony Laurenzi,DT,1776,2,El Dorado,0.7667,CA,260,2008
59486,San Diego,San Diego State,6,0,"San Diego, CA, united states of america",Josh Wade,CB,1777,2,Point Loma,0.7667,CA,175,2008
59487,Stockbridge,Ball State,5,9,"Stockbridge, GA, united states of america",Rashaad White,RB,1778,2,Stockbridge,0.7667,GA,205,2008
59488,Chicago,Western Michigan,6,2,"Chicago, IL, united states of america",Lawrence Henning,OLB,1779,2,Mount Carmel,0.7667,IL,205,2008
59489,Irving,TCU,5,9,"Irving, TX, united states of america",Edward Wesley,RB,1780,2,MacArthur,0.7667,TX,187,2008
59490,Norcross,Kent State,6,1,"Norcross, GA, united states of america",Alex Napper,WR,1781,2,Norcross,0.7667,GA,185,2008
59491,Union Bridge,West Virginia,6,3,"Union Bridge, MD, united states of america",John Bassler,OG,1782,2,Francis Scott Key Sr.,0.7667,MD,290,2008
59492,Little Elm,SMU,5,9,"Little Elm, TX, united states of america",Cole Beasley,ATH,1783,2,Little Elm,0.7667,TX,155,2008
59493,Miami,Troy,6,0,"Miami, FL, united states of america",Dan Parker,DUAL,1784,2,Columbus,0.7667,FL,200,2008
59494,Lawndale,West Virginia,5,9,"Lawndale, CA, united states of america",Mark Rodgers,APB,1785,2,Leuzinger,0.7667,CA,160,2008
59495,Washington,North Carolina,6,3,"Washington, DC, united states of america",Dion Guy,OLB,1786,2,Woodson H.D.,0.7667,DC,217,2008
59496,Rancho Cucamonga,Nevada,6,4,"Rancho Cucamonga, CA, united states of america",Christian Barker,OT,1787,2,Etiwanda,0.7667,CA,310,2008
59497,Apopka,New Mexico,6,4,"Apopka, FL, united states of america",Cameris Stewart,WR,1788,2,Apopka,0.7667,FL,186,2008
59498,South Bend,Marshall,6,1,"South Bend, IN, united states of america",Jordan Taylor,RB,1789,2,St Joseph's,0.7667,IN,205,2008
59499,Southfield,Toledo,6,4,"Southfield, MI, united states of america",Johnathan Lamb,WDE,1790,2,Southfield,0.7667,MI,250,2008
59500,Fayetteville,Kent State,6,1,"Fayetteville, GA, united states of america",Ryan Hidalgo,ILB,1791,2,Whitewater,0.7667,GA,205,2008
59501,Marysville,Nevada,6,0,"Marysville, CA, united states of america",Dayton Guillory,CB,1792,2,Yuba County Career Preparatory Charter,0.7667,CA,175,2008
59502,Orlando,Air Force,6,2,"Orlando, FL, united states of america",Ryan Dukes,SDE,1793,2,Edgewater,0.7667,FL,233,2008
59503,Gwynn Oak,NoCollege,6,2,"Gwynn Oak, MD, united states of america",Corey Fuller,WR,1794,2,Woodlawn Center For Pre-eng. Res.,0.7667,MD,185,2008
59504,Miami,Kent State,5,10,"Miami, FL, united states of america",Chris Gordon,WR,1795,2,Coral Gables Senior,0.7667,FL,165,2008
59505,Atlanta,Kent State,5,10,"Atlanta, GA, united states of america",Daamon Cooper,WR,1796,2,North Clayton,0.7667,GA,160,2008
59506,Cedar Hill,UNLV,5,9,"Cedar Hill, TX, united states of america",Imari Thompson,RB,1797,2,Cedar Hill,0.7660,TX,193,2008
59507,Lakeland,Indiana,6,3,"Lakeland, FL, united states of america",A.J. Thompson,OT,1798,2,Kathleen,0.7642,FL,298,2008
59508,Eden Prairie,Iowa State,6,7,"Eden Prairie, MN, united states of america",Carter Bykowski,TE,1799,2,Eden Prairie,0.7628,MN,245,2008
59509,Midlothian,Louisiana-Monroe,6,4,"Midlothian, TX, united states of america",Michael Autwell,WDE,1800,2,Midlothian,0.7615,TX,213,2008
60210,Dayton,Akron,6,1,"Dayton, OH, united states of america",Troy Gilmer,RB,1801,2,Wayne,0.7611,OH,203,2008
60211,Thompson's Station,Buffalo,6,2,"Thompson's Station, TN, united states of america",Scott Pettigrew,RB,1802,2,Independence,0.7611,TN,203,2008
60212,Thomasville,UAB,6,0,"Thomasville, AL, united states of america",Jarrell Watters,OLB,1803,2,Thomasville,0.7594,AL,215,2008
60213,Lake Oswego,Washington State,6,1,"Lake Oswego, OR, united states of america",Jay Matthews,S,1804,2,Lake Oswego Senior,0.7580,OR,195,2008
60214,Miami,FIU,6,2,"Miami, FL, united states of america",Franklin Brown,ATH,1805,2,Booker T. Washington,0.7563,FL,170,2008
60215,Avon,Rutgers,6,2,"Avon, CT, united states of america",Khaseem Greene,ATH,1806,2,Avon Old Farms,0.7556,CT,195,2008
60216,Fort Lauderdale,Middle Tennessee State,6,2,"Fort Lauderdale, FL, united states of america",Darrin Davis,OLB,1807,2,Dillard,0.7556,FL,192,2008
60217,Las Vegas,Air Force,6,4,"Las Vegas, NV, united states of america",Robert Drye,OT,1808,2,Shadow Ridge,0.7556,NV,285,2008
60218,Orlando,Air Force,5,8,"Orlando, FL, united states of america",Irvin George,APB,1809,2,Lake Highland Prep,0.7556,FL,192,2008
60219,Baton Rouge,New Mexico State,5,9,"Baton Rouge, LA, united states of america",Todd Lee,CB,1810,2,Catholic,0.7556,LA,160,2008
60220,Lake Mary,USF,6,0,"Lake Mary, FL, united states of america",Mike Lanaris,ILB,1811,2,Lake Mary,0.7556,FL,217,2008
60221,Hurst,Houston,6,4,"Hurst, TX, united states of america",Ken Van Heule,OG,1812,2,Bell,0.7556,TX,265,2008
60222,Green Bay,Northern Illinois,6,0,"Green Bay, WI, united states of america",Jody VanLaanen,CB,1813,2,Ashwaubenon,0.7556,WI,195,2008
60223,Exeter,Army,6,5,"Exeter, NH, united states of america",D. Brad Kelly,TE,1814,2,Exeter,0.7556,NH,220,2008
60224,Orlando,Memphis,6,1,"Orlando, FL, united states of america",Clay Lee,OLB,1815,2,Dr. Phillips,0.7556,FL,215,2008
60225,Tampa,Vanderbilt,6,4,"Tampa, FL, united states of america",Archie Barnes,ATH,1816,2,Berkeley Prep,0.7556,FL,200,2008
60226,Knoxville,Ole Miss,5,10,"Knoxville, TN, united states of america",Andre Sterling,RB,1817,2,Farragut,0.7531,TN,190,2008
60227,San Jose,San Jose State,6,1,"San Jose, CA, united states of america",Tanner Burns,S,1818,2,Valley Christian,0.7514,CA,185,2008
60228,Santa Cruz,Utah State,6,3,"Santa Cruz, CA, united states of america",Quinn Garner,OLB,1819,2,Santa Cruz,0.7500,CA,230,2008
60229,Baldwin Park,Utah State,6,4,"Baldwin Park, CA, united states of america",Oscar Molina,SDE,1820,2,Baldwin Park,0.7500,CA,245,2008
60230,Jackson,Eastern Michigan,5,11,"Jackson, MI, united states of america",Tyler Thomas,RB,1821,2,Jackson,0.7500,MI,185,2008
60231,Columbus,Toledo,6,1,"Columbus, OH, united states of america",Darius Reeves,CB,1822,2,Gahanna Lincoln,0.7500,OH,170,2008
